name,routine,flags,list,xpos,ypos,zpos,xrot,yrot,zrot,xscl,yscl,zscl
b,6D63F0,2,2,0,0,0,0,0,0,0,0,0
b,6D63F0,2,2,20,0,0,0,0,0,0,0,0
b,6D63F0,2,2,40,0,0,0,0,0,0,0,0
b,6D63F0,2,2,60,0,0,0,0,0,0,0,0
b,6D63F0,2,2,80,0,0,0,0,0,0,0,0
b,6D63F0,2,2,100,0,0,0,0,0,0,0,0
b,6D63F0,2,2,120,0,0,0,0,0,0,0,0
b,6D63F0,2,2,140,0,0,0,0,0,0,0,0
b,6D63F0,2,2,160,0,0,0,0,0,0,0,0
b,6D63F0,2,2,180,0,0,0,0,0,0,0,0
b,6D63F0,2,2,0,20,0,0,0,0,0,0,0
b,6D63F0,2,2,20,20,0,0,0,0,0,0,0
b,6D63F0,2,2,40,20,0,0,0,0,0,0,0
b,6D63F0,2,2,60,20,0,0,0,0,0,0,0
b,6D63F0,2,2,80,20,0,0,0,0,0,0,0
b,6D63F0,2,2,100,20,0,0,0,0,0,0,0
b,6D63F0,2,2,120,20,0,0,0,0,0,0,0
b,6D63F0,2,2,140,20,0,0,0,0,0,0,0
b,6D63F0,2,2,160,20,0,0,0,0,0,0,0
b,6D63F0,2,2,180,20,0,0,0,0,0,0,0
b,6D63F0,2,2,0,40,0,0,0,0,0,0,0
b,6D63F0,2,2,20,40,0,0,0,0,0,0,0
b,6D63F0,2,2,40,40,0,0,0,0,0,0,0
b,6D63F0,2,2,60,40,0,0,0,0,0,0,0
b,6D63F0,2,2,80,40,0,0,0,0,0,0,0
b,6D63F0,2,2,100,40,0,0,0,0,0,0,0
b,6D63F0,2,2,120,40,0,0,0,0,0,0,0
b,6D63F0,2,2,140,40,0,0,0,0,0,0,0
b,6D63F0,2,2,160,40,0,0,0,0,0,0,0
b,6D63F0,2,2,180,40,0,0,0,0,0,0,0
b,6D63F0,2,2,0,60,0,0,0,0,0,0,0
b,6D63F0,2,2,20,60,0,0,0,0,0,0,0
b,6D63F0,2,2,40,60,0,0,0,0,0,0,0
b,6D63F0,2,2,60,60,0,0,0,0,0,0,0
b,6D63F0,2,2,80,60,0,0,0,0,0,0,0
b,6D63F0,2,2,100,60,0,0,0,0,0,0,0
b,6D63F0,2,2,120,60,0,0,0,0,0,0,0
b,6D63F0,2,2,140,60,0,0,0,0,0,0,0
b,6D63F0,2,2,160,60,0,0,0,0,0,0,0
b,6D63F0,2,2,180,60,0,0,0,0,0,0,0
b,6D63F0,2,2,0,80,0,0,0,0,0,0,0
b,6D63F0,2,2,20,80,0,0,0,0,0,0,0
b,6D63F0,2,2,40,80,0,0,0,0,0,0,0
b,6D63F0,2,2,60,80,0,0,0,0,0,0,0
b,6D63F0,2,2,80,80,0,0,0,0,0,0,0
b,6D63F0,2,2,100,80,0,0,0,0,0,0,0
b,6D63F0,2,2,120,80,0,0,0,0,0,0,0
b,6D63F0,2,2,140,80,0,0,0,0,0,0,0
b,6D63F0,2,2,160,80,0,0,0,0,0,0,0
b,6D63F0,2,2,180,80,0,0,0,0,0,0,0
b,6D63F0,2,2,0,100,0,0,0,0,0,0,0
b,6D63F0,2,2,20,100,0,0,0,0,0,0,0
b,6D63F0,2,2,40,100,0,0,0,0,0,0,0
b,6D63F0,2,2,60,100,0,0,0,0,0,0,0
b,6D63F0,2,2,80,100,0,0,0,0,0,0,0
b,6D63F0,2,2,100,100,0,0,0,0,0,0,0
b,6D63F0,2,2,120,100,0,0,0,0,0,0,0
b,6D63F0,2,2,140,100,0,0,0,0,0,0,0
b,6D63F0,2,2,160,100,0,0,0,0,0,0,0
b,6D63F0,2,2,180,100,0,0,0,0,0,0,0
b,6D63F0,2,2,0,120,0,0,0,0,0,0,0
b,6D63F0,2,2,20,120,0,0,0,0,0,0,0
