name,routine,flags,list,xpos,ypos,zpos,xrot,yrot,zrot,xscl,yscl,zscl
MSBRIMINI,6F67A0,6,2,1725.5620117188,-220.5,-2148.7458496094,0,4000,0,0,0,0
ROCKET   ,6D4EA0,6,2,1742.5933837891,-214.5,-2149.3298339844,0,FFFFD24E,0,2100,315,-1408
MSBRILONG,6F6740,6,2,2099.7316894531,216.2449798584,-1444.8530273438,0,0,0,0,0,0
E KUMI,501530,2,2,2131.310546875,246.2449798584,-1245.6451416016,0,E2AD,0,0,0,0
E KUMI,501530,2,2,2172.09765625,258.17245483398,-1277.158203125,0,1B1F,0,0,0,0
E KUMI,501530,2,2,2191.2683105469,280.62875366211,-1310.564453125,0,45B5,0,0,0,0
E KUMI,501530,2,2,2207.4675292969,297.41937255859,-1324.7016601563,0,341,0,0,0,0
E KUMI,501530,2,2,2233.5541992188,306.57250976563,-1334.4860839844,0,FF24,0,0,0,0
ITEMBOXAIR   ,6C8EF0,2,2,2267.3159179688,328.00796508789,-1337.8861083984,0,E5CC,0,2,9480,1
MSBRIMINI,6F67A0,6,2,2293.9877929688,298.00796508789,-1373.3240966797,0,E5CC,0,2,0,0
ROCKET   ,6D4EA0,6,2,2280.1901855469,308.00796508789,-1354.7393798828,0,FFFF85D8,0,0,500,0
