Name,Routine,Flags,List,XPos,YPos,ZPos,XRot,YRot,ZRot,XScl,YScl,ZScl
Iron Block,6D63F0,F,2,80,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,160,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,240,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,260,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,280,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,340,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,480,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,500,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,520,20,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,160,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,260,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,520,40,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,160,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,260,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,500,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,520,60,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,160,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,260,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,520,80,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,80,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,180,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,240,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,260,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,280,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,340,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,420,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,480,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,500,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,520,100,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,240,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,280,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,300,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,460,140,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,240,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,480,160,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,220,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,240,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,300,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,380,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,480,180,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,200,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,240,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,480,200,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,160,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,220,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,280,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,300,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,320,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,360,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,400,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,440,220,60,0,0,0,1,1,1
Iron Block,6D63F0,F,2,460,220,60,0,0,0,1,1,1
Glass,6D29F0,F,2,80,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,100,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,120,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,140,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,160,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,180,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,200,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,220,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,240,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,260,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,280,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,300,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,320,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,340,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,360,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,380,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,400,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,420,260,60,0,0,0,1,1,1
Glass,6D29F0,F,2,440,260,60,0,0,0,1,1,1
