name,routine,flags,list,xpos,ypos,zpos,xrot,yrot,zrot,xscl,yscl,zscl
FRSTAGE,4B31D0,6,2,1955.6435546875,-295.88714599609,-25.761325836182,0,0,0,0,0,0
Dash Panel,6CFBF0,2,2,1978.7816162109,-295.88714599609,-42.513877868652,0,6000,0,14,60,0
FRSTAGE,4B31D0,6,2,2436.7985839844,-596.95086669922,-498.0319519043,1,6000,0,0,0,0
ITEMBOXAIR   ,6C8EF0,2,2,2488.1845703125,-592.95086669922,-463.61730957031,1,0,0,1,14810,1
ITEMBOXAIR   ,6C8EF0,2,2,2544.7724609375,-607.95086669922,-436.52780151367,1,0,0,1,11725,1
ITEMBOXAIR   ,6C8EF0,2,2,2594.7683105469,-622.95086669922,-417.05703735352,1,0,0,1,10495,1
ITEMBOXAIR   ,6C8EF0,2,2,2625.9970703125,-687.95086669922,-392.12194824219,1,0,0,1,9355,1
ITEMBOXAIR   ,6C8EF0,2,2,2701.9675292969,-722.95086669922,-406.95040893555,1,0,0,1,8515,1
ITEMBOXAIR   ,6C8EF0,2,2,2789.3811035156,-792.95086669922,-461.52401733398,1,0,0,1,6925,1
ITEMBOXAIR   ,6C8EF0,2,2,2861.9025878906,-822.95086669922,-495.08392333984,1,0,0,1,4905,1
ITEMBOXAIR   ,6C8EF0,2,2,2958.2282714844,-922.95086669922,-489.63311767578,1,0,0,1,3690,1
ITEMBOX   ,6C7C10,2,2,3022.7453613281,-927.18774414063,-589.47888183594,1,0,0,1,360,1
