name,routine,flags,list,xpos,ypos,zpos,xrot,yrot,zrot,xscl,yscl,zscl
Dash Panel,6CFBF0,2,2,10.136569976807,-299,-1563.9920654297,0,8000,0,50,1,1
Dash Panel,6CFBF0,2,2,42.597549438477,13.653718948364,-1739.6791992188,4800,FFFF8000,0,1,1,1
Spring (Type B),6C4E90,2,2,5.1298828125,-25.397308349609,-1859.6534423828,E800,0,B000,1,10,0
Spring (Type B),6C4E90,2,2,441.42471313477,-230.6291809082,-2176.6694335938,1000,0,A000,3,1,0
Dash Panel,6CFBF0,2,2,488.22952270508,-269,-2129.6579589844,0,4000,0,4,1,1
Dash Panel,6CFBF0,2,2,1210.9686279297,-149.56526184082,-2168.7404785156,0,4000,FDE7,3,1,1
Dash Panel,6CFBF0,2,2,1453.1986083984,-299,-2163.5034179688,0,4000,0,3,1,1
Dash Panel,6CFBF0,F,2,1453.1986083984,-299,-2163.5034179688,0,4000,0,3,1,1
Dash Panel,6CFBF0,F,2,1517.1986083984,-299,-2163.5034179688,0,4000,0,3,1,1
Dash Panel,6CFBF0,F,2,1597.1986083984,-299,-2163.5034179688,0,4000,0,3,1,1
Dash Panel,6CFBF0,F,2,1597.1986083984,-299,-2163.5034179688,0,4000,0,3,1,1
Dash Panel,6CFBF0,F,2,1657.1986083984,-299,-2163.5034179688,0,4000,0,5,1,1
Dash Panel,6CFBF0,2,2,1170.0458984375,-149,-2132.3845214844,0,14FE4,0,3,1,1
Spring (Type A),6C4480,2,2,1859.3765869141,-249,-2228.0412597656,0,F000,0,180,1,0
Spring (Type B),6C4E90,2,2,1859.3765869141,-100.6329498291,-2228.0412597656,0,F000,C000,5,1,0
Dash Panel,6CFBF0,2,2,2012.4809570313,-249,-2278.3981933594,0,3000,0,3,1,1
Spring (Type B),6C4E90,2,2,2039.7037353516,-155.88354492188,-2269.2568359375,0,0,C000,1,1,0
Rocket,6D4EA0,6,2,2152.7612304688,-209,-2269.2568359375,0,4184,0,2130.3762207031,-207,-2869.5827636719
Launch Panel,6D7130,6,2,2130.7038574219,-270,-2862.0100097656,0,0,0,20,10,1
Launch Panel,6D7130,6,2,2135.4711914063,-160,-3987.9904785156,0,2000,0,3,5,1
Launch Panel,6D7130,6,2,1975.2679443359,-18.879964828491,-4125.2612304688,8000,8000,4000,3,5,1
MSBRIMINI,6F67A0,6,2,1980,-330.27194213867,-3632,0,0,0,1,1,1
SPRB   ,6C4E90,2,2,1978.0899658203,406.94845581055,-3610.5107421875,0,0,0,1,50,0
SPRB   ,6C4E90,2,2,1978.0899658203,1168.7478027344,-3610.5107421875,A800,0,0,1,50,0
SPRB   ,6C4E90,2,2,1978.0899658203,-160.00018310547,-4960.4594726563,E000,0,F000,1,50,0
SPRB   ,6C4E90,2,2,2454.8225097656,890.14874267578,-6084.7065429688,C000,4000,2000,1,50,0
MSBRISHORT,6F6770,6,2,2464,851.29193115234,-7292,0,0,0,1,50,1
MSBRISHORT,6F6770,6,2,2464,853.29193115234,-7376,0,0,0,30,500,5
KASOKU ,6CFBF0,2,2,2464.091796875,861.29193115234,-7256.630859375,0,8000,0,3,1,1
KASOKU ,6CFBF0,2,2,2464.3649902344,863.29193115234,-7333.732421875,0,8000,0,3,1,1
MSBRILONG,6F6740,6,2,2428.3649902344,695.1787109375,-7608.525390625,0,3000,0,1,1,1
SPRB   ,6C4E90,2,2,2465.6791992188,863.29193115234,-7370.8979492188,A800,0,0,1,1,0
KASOKU ,6CFBF0,2,2,2465.794921875,705.1787109375,-7599.1723632813,0,3000,0,3,1,0
KASOKU ,6CFBF0,F,2,2540,705.1787109375,-7568,0,3000,0,3,1,1
KASOKU ,6CFBF0,2,2,2616,705.1787109375,-7536,0,3000,0,3,1,1
SPRB   ,6C4E90,2,2,2651.443359375,705.1787109375,-7521.75,0,0,F000,3,1,0
