Name,Routine,Flags,List,XPos,YPos,ZPos,XRot,YRot,ZRot,XScl,YScl,ZScl
Iron Block,6D63F0,F,2,0,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,20,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,40,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,60,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,80,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,0,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,0,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,0,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,20,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,40,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,60,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,80,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,100,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,120,20,0,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,140,20,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,0,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,20,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,40,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,60,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,80,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,100,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,120,100,0,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,140,100,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,0,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,20,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,40,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,60,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,80,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,120,0,0,0,0,1,1,1
Iron Block,6D63F0,F,2,0,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,20,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,40,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,60,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,80,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,0,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,140,0,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,0,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,20,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,40,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,60,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,80,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,100,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,120,20,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,140,20,20,0,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,0,100,20,0,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,20,120,20,8000,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,40,120,20,8000,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,60,120,20,8000,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,80,120,20,8000,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,100,120,20,8000,0,0,1,1,1
Weighted Pressure Plate (Light),6C4480,F,2,120,120,20,8000,0,0,1,1,1
Wooden Plank,6CD7F0,F,2,140,100,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,0,120,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,20,120,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,40,120,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,60,120,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,80,120,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,100,120,20,0,0,0,1,1,1
Iron Block,6D63F0,F,2,120,120,20,0,0,0,1,1,1
