name,routine,flags,list,xpos,ypos,zpos,xrot,yrot,zrot,xscl,yscl,zscl
TREEST,5EB370,2,2,-1508.3133544922,-6260,9338.09765625,0,0,0,1,1,1
TREEST,5EB370,2,2,-1496.8786621094,-6260,9411.3408203125,0,0,0,1,1,1
TREEST,5EB370,2,2,-1450.4523925781,-6260,9412.490234375,0,0,0,1,1,1
TREEST,5EB370,2,2,-1387.8610839844,-6260,9393.6513671875,0,0,0,1,1,1
TREEST,5EB370,2,2,-1539.6619873047,-6260,9432.427734375,0,0,0,1,1,1
TREEST,5EB370,2,2,-1586.1766357422,-6260,9404.2998046875,0,0,0,1,1,1
TREEST,5EB370,2,2,-1226.9134521484,-6210,9392.97265625,0,0,0,1,1,1
TREEST,5EB370,2,2,-1199.3826904297,-6210,9420.748046875,0,0,0,1,1,1
TREEST,5EB370,2,2,-1158.8883056641,-6210,9432.427734375,0,0,0,1,1,1
TREEST,5EB370,2,2,-1123.7438964844,-6210,9410.4130859375,0,0,0,1,1,1
TREEST,5EB370,2,2,-1047.3190917969,-6210,9432.40625,0,0,0,1,1,1
TREEST,5EB370,2,2,-986.99298095703,-6210,9428.494140625,0,0,0,1,1,1
TREEST,5EB370,2,2,-928.35748291016,-6210,9412.6328125,0,0,0,1,1,1
TREEST,5EB370,2,2,-893.43176269531,-6210,9439.4990234375,0,0,0,1,1,1
TREEST,5EB370,2,2,-841.7880859375,-6210,9431.619140625,0,0,0,1,1,1
TREEST,5EB370,2,2,-757.41583251953,-6352.0786132813,9744.876953125,0,0,0,1,1,1
TREEST,5EB370,2,2,-756.61145019531,-6346.4731445313,9718.2509765625,0,0,0,1,1,1
TREEST,5EB370,2,2,-755.19146728516,-6335.44921875,9665.8759765625,0,0,0,1,1,1
TREEST,5EB370,2,2,-753.82427978516,-6324.7861328125,9615.2412109375,0,0,0,1,1,1
TREEST,5EB370,2,2,-752.99725341797,-6320.47265625,9594.7470703125,0,0,0,1,1,1
TREEST,5EB370,2,2,-750.23687744141,-6312.3891601563,9556.345703125,0,0,0,1,1,1
TREEST,5EB370,2,2,-760.60900878906,-6296.1079101563,9479.015625,0,0,0,1,1,1
TREEST,5EB370,2,2,-754.34405517578,-6290.8608398438,9454.09375,0,0,0,1,1,1
TREEST,5EB370,2,2,-680.72967529297,-6307.5634765625,9533.4189453125,0,0,0,1,1,1
TREEST,5EB370,2,2,-670.78558349609,-6319.36328125,9589.4765625,0,0,0,1,1,1
TREEST,5EB370,2,2,-679.61004638672,-6332.134765625,9650.1328125,0,0,0,1,1,1
TREEST,5EB370,2,2,-689.33477783203,-6342.9946289063,9701.72265625,0,0,0,1,1,1
TREEST,5EB370,2,2,-606.45989990234,-6270,10069.758789063,0,0,0,1,1,1
TREEST,5EB370,2,2,369.44201660156,-6570,9946.8388671875,0,0,0,1,1,1
TREEST,5EB370,2,2,312.60940551758,-6570,9958.0341796875,0,0,0,1,1,1
TREEST,5EB370,2,2,280.74166870117,-6570,10046.2734375,0,0,0,1,1,1
TREEST,5EB370,2,2,336.15515136719,-6470,9744.81640625,0,0,0,1,1,1
TREEST,5EB370,2,2,365.46014404297,-6470,9713.7802734375,0,0,0,1,1,1
TREEST,5EB370,2,2,388.37637329102,-6470,9654.744140625,0,0,0,1,1,1
TREEST,5EB370,2,2,2637.2905273438,-8662.6884765625,6188.0317382813,0,0,0,1,1,1
TREEST,5EB370,2,2,2655.4011230469,-8662.6884765625,6148.3779296875,0,0,0,1,1,1
TREEST,5EB370,2,2,2655.4296875,-8662.6884765625,6088.2900390625,0,0,0,1,1,1
TREEST,5EB370,2,2,2649.7229003906,-8662.6884765625,6035.8618164063,0,0,0,1,1,1
TREEST,5EB370,2,2,2653.9587402344,-8662.6884765625,5967.8833007813,0,0,0,1,1,1
TREEST,5EB370,2,2,2652.2463378906,-8662.6884765625,5889.8393554688,0,0,0,1,1,1
TREEST,5EB370,2,2,2646.1916503906,-8662.6884765625,5804.8422851563,0,0,0,1,1,1
TREEST,5EB370,2,2,2693.7023925781,-8627.6884765625,5811.2036132813,0,0,0,1,1,1
TREEST,5EB370,2,2,2690.3479003906,-8627.6884765625,5899.2905273438,0,0,0,1,1,1
TREEST,5EB370,2,2,2692.6459960938,-8627.6884765625,5973.666015625,0,0,0,1,1,1
